"dg-description","dg-ndc","dg-strength","dg-search-code","dg-supplier-code","dg-description-generic","dg-dispensing-units","dg-dea-class","dg-pkg-size-units","dg-standard-qty","dg-lot-nbr","dg-price(1)","dg-price(2)","dg-price(3)","dg-price(4)","dg-price(5)","dg-price(6)","dg-price(7)","dg-price(8)","dg-price(9)","dg-acquis-percent-of-awp","dg-fee-schedule","dg-tax-schedule","dg-compound-code","dg-drug-type-override","dg-hot-list-code","dg-unit-dose-code","dg-exception-price-percent","dg-exception-drug-y-n","dg-exception-prorate-y-n","dg-special-price-y-n","dg-external-use-y-n","dg-generic-y-n","dg-jobber-y-n","dg-maintenance-y-n","dg-inactive-code","dg-pkg-insert-y-n","dg-price-poster-qty","dg-state-code","dg-state-generic-y-n","dg-alt-product-code","dg-alt-product-type","dg-generic-ind","dg-generic-price-ind","dg-3pty-conv-factor","dg-comments","dg-date-last-change","dg-orange-book-code-fdb","dg-days-till-expires","dg-nbr-disp-pkgs","dg-message-nbr","dg-pkg-size-dec-metric","dg-obsolete-date","dg-ndc-new","dg-ndc-prev","dg-drug-form-code","dg-location-id","dg-location-device-id","dg-monitor-refills-y-n","dg-insulin-syringe","dg-non-insulin-syringe","dg-injectable-non-insulin","dg-otc","dg-state-restricted","dg-fertility","dg-vitamin","dg-desi-drug","dg-cosmetic-indications","dg-aids-related-drug","dg-smoking-deterrent","dg-fluoride","dg-ostomy-supplies","dg-topical-contraceptive","dg-misc-diabetic-supplies","dg-needle","dg-laxative","dg-insulin","dg-hematinic","dg-antacid","dg-diagnostic","dg-antiobesity-drug","dg-oral-contraceptive","dg-anti-anexiety-agent","dg-orange-book-code","dg-generic-code-seq-nbr","dg-preferred-product-code","dg-fdb-hic3-code","dg-skip-generic-disp-y-n","dg-nbr-of-doses-in-container","dg-date-last-update","dg-new-drug-y-n","dg-date-record-added","dg-time-record-added","dg-date-last-dispensed","dg-price-date-last-update(1)","dg-price-date-last-update(2)","dg-price-date-last-update(3)","dg-price-date-last-update(4)","dg-price-date-last-update(5)","dg-price-date-last-update(6)","dg-price-date-last-update(7)","dg-price-date-last-update(8)","dg-price-date-last-update(9)","dg-maintain-inventory-y-n","dg-maintain-0-on-hand-qty","dg-qty-on-hand-desired","dg-qty-on-hand","dg-qty-on-order","dg-qty-reorder","dg-reorder-point","dg-reorder-method-code","dg-meth2-min-days-sup","dg-meth2-max-days-sup","dg-meth2-min-reorder-qty","dg-meth2-max-reorder-qty","dg-date-ordered","dg-purchase-order-nbr","dg-inv-adj-percent","dg-inv-buffer-qty","dg-adjust-reorder-point","dg-inv-months-back","dg-inv-months-forward","dg-monthly-qty(1)","dg-monthly-qty(2)","dg-monthly-qty(3)","dg-monthly-qty(4)","dg-monthly-qty(5)","dg-monthly-qty(6)","dg-monthly-qty(7)","dg-monthly-qty(8)","dg-monthly-qty(9)","dg-monthly-qty(10)","dg-monthly-qty(11)","dg-monthly-qty(12)","dg-monthly-qty(13)","dg-monthly-rxs(1)","dg-monthly-rxs(2)","dg-monthly-rxs(3)","dg-monthly-rxs(4)","dg-monthly-rxs(5)","dg-monthly-rxs(6)","dg-monthly-rxs(7)","dg-monthly-rxs(8)","dg-monthly-rxs(9)","dg-monthly-rxs(10)","dg-monthly-rxs(11)","dg-monthly-rxs(12)","dg-monthly-rxs(13)","dg-date-dg-usage-rolled","dg-lot-date-expires","dg-warehouse-drug-y-n","dg-manual-or-fdb-drug","dg-ndc-configuration-ind","dg-drug-of-choice-ndc","dg-dummy-warehouse-y-n","dg-supplier-of-drug","dg-generic-code-nbr","dg-sup1-pkg-size","dg-sup2-pkg-size","dg-supplier-code-2","dg-supplier-of-drug-2","dg-route-code","dg-fdb-dosage-form-desc","dg-ingredient-message","dg-automed-dispensed-y-n","dg-code1-product-y-n","dg-record-type"
"**PAP-**COLCRYS 0.6 MG TABLET","30000000024",,,,,"EA","06","00100",,,"00007.1854","00007.1854","00007.1854",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","13310011901","10242016",,,,,"00100.0000",,"03000000024",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002022",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-ADVAIR 100-50 DISKUS GSK","30000000001",,,,,"EA","06","00060",,,"00005.3863","00005.3863","00005.3863",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00173069500","10242016",,,,,"00060.0000",,"03000000001",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001946",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-ADVAIR 250-50 DISKUS GSK","30000000002",,,,,"EA","06","00060",,,"00005.6747","00005.6747","00005.6747",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00173069600","10242016",,,,,"00060.0000",,"03000000002",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001947",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-ADVAIR 500-50 DISKUS GSK","30000000003",,,,,"EA","06","00060",,,"00008.8022","00008.8022","00008.8022",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00173069700","10242016",,,,,"00060.0000",,"03000000003",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001951",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-ADVAIR HFA 115/21 MCG IN","30000000005",,,,,"GM","06","00012",,,"00018.1308","00018.1308","00018.1308",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00173071600","10242016",,,,,"00012.0000",,"03000000005",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001953",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-ADVAIR HFA 45/21 MCG INH","30000000004",,,,,"GM","06","00012",,,"00023.9783","00023.9783","00023.9783",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00173071500","10242016",,,,,"00012.0000",,"03000000004",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001952",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-ANORO ELLIPTA 62.5-25 MC","30000000007",,,,,"EA","06","00060",,,"00006.3137","00006.3137","00006.3137",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00173086910","10242016",,,,,"00060.0000",,"03000000007",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001954",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-APIDRA 100 UNITS/ML VIAL","30000000008",,,,,"ML","06","00010",,,"00009.3050","00009.3050","00009.3050",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00088250033","10242016",,,,,"00010.0000",,"03000000008",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10152016","00000023",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-APIDRA SOLOSTAR 100 UNIT","30000000009",,,,,"ML","06","00003",,,"00011.9840","00011.9840","00011.9840",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00088250205","10242016",,,,,"00003.0000",,"03000000009",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10152016","00000024",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-ATROVENT HFA INHALER B-I","30000000010",,,,,"GM","06","00013",,,"00028.9754","00028.9754","00028.9754",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00597008717","10242016",,,,,"00012.9000",,"03000000010",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00001956",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-AZASAN 100 MG TABLET SAL","30000000012",,,,,"EA","06","00100",,,"00005.5594","00005.5594","00005.5594",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","65649024141","10242016",,,,,"00100.0000",,"03000000012",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002008",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-AZASAN 75 MG TABLET SAL","30000000011",,,,,"EA","06","00100",,,"00012.4700","00012.4700","00012.4700",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","65649023141","10242016",,,,,"00100.0000",,"03000000011",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002006",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-BOTOX 100 UNITS VIAL ALL","30000000013",,,,,"EA","06","00001",,,"00694.8000","00694.8000","00694.8000",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00023114501","10242016",,,,,"00001.0000",,"03000000013",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002009",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-BOTOX 200 UNITS VIAL ALL","30000000014",,,,,"EA","06","00001",,,"01389.6000","01389.6000","01389.6000",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00023392102","10242016",,,,,"00001.0000",,"03000000014",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002012",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-BRILINTA 60 MG TABLET AS","30000000016",,,,,"EA","06","00060",,,"00006.1658","00006.1658","00006.1658",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00186077660","10242016",,,,,"00060.0000",,"03000000016",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002014",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-BRILINTA 90 MG TABLET AS","30000000015",,,,,"EA","06","00060",,,"00006.1658","00006.1658","00006.1658",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00186077760","10242016",,,,,"00060.0000",,"03000000015",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002013",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-CAMPATH 30 MG/ML VIAL GE","30000000136",,,,,"ML","06","00001",,,"01765.0000","01765.0000","01765.0000",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","58468035703","10312016",,,,,"00001.0000",,"03000000136",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10152016","00000527",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-CELEBREX 100 MG CAPSULE","30000000017",,,,,"EA","06","00100",,,"00006.1371","00006.1371","00006.1371",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00025152034","10242016",,,,,"00100.0000",,"03000000017",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002014",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-CELEBREX 200 MG CAPSULE","30000000018",,,,,"EA","06","00100",,,"00010.0663","00010.0663","00010.0663",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00025152531","10242016",,,,,"00100.0000",,"03000000018",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002016",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-CELEBREX 400 MG CAPSULE","30000000019",,,,,"EA","06","00100",,,"00015.0998","00015.0998","00015.0998",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00025153001","10242016",,,,,"00100.0000",,"03000000019",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002017",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-CIALIS 10 MG TABLET LIL","30000000021",,,,,"EA","06","00030",,,"00051.7400","00051.7400","00051.7400",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00002446330","10242016",,,,,"00030.0000",,"03000000021",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002018",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-CIALIS 2.5 MG TABLET LIL","30000000023",,,,,"EA","06","00030",,,"00008.8360","00008.8360","00008.8360",,,,,,,,"0000001",,"1",,"0","0",,,,,,"N",,,,,,,"N",,,,,"0001","00002446534","10242016",,,,,"00030.0000",,"03000000023",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002021",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
"**PAP-CIALIS 20 MG TABLET LIL","30000000022",,,,,"EA","06","00030",,,"00051.7400","00051.7400","00051.7400",,,,,,,,"0000001",,"1",,"0","0",,,,,,,,,,,,,,,,,,"0001","00002446430","10242016",,,,,"00030.0000",,"03000000022",,"1",,,,"N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N",,,,,,,,"Y","10142016","00002019",,,,,,,,,,,"N",,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"00",,,,,,,,,,,"01"
