RXCUI,Ingredient,Strength,Treats,Order Limit (avg),Pills per Clinic (by charge),Item Description,NDC,Order Date,Items per Package,Number of Packages,Total Items in Order,Price per Unit,Price per Package,Total Order Cost
197904,Lovastatin,20 MG,"['Arteriosclerosis', 'Coronary Artery Disease', 'Hypercholesterolemia', 'Hyperlipidemias', 'Hyperlipoproteinemias', 'Hypertriglyceridemia']",11,-1,LOVASTAT TAB 20MG SAN 100@,00185007201,2016-03-22,100,5,500,$0.047,$4.70,$23.50
197904,Lovastatin,20 MG,"['Arteriosclerosis', 'Coronary Artery Disease', 'Hypercholesterolemia', 'Hyperlipidemias', 'Hyperlipoproteinemias', 'Hypertriglyceridemia']",11,17.15686274509804,LOVASTAT TAB 20MG SAN 100@,00185007201,2015-12-11,100,5,500,$0.027,$2.67,$13.35
863664,oxybutynin,5 MG (expressed as Oxybutynin chloride),"['Urinary Bladder Diseases', 'Urinary Bladder, Neurogenic', 'Urinary Incontinence']",34,-1,OXYBUTYNIN TAB 5MG U/S 1000@,00832003810,2016-03-30,1000,1,1000,$0.25,$249.92,$249.92
863664,oxybutynin,5 MG (expressed as Oxybutynin chloride),"['Urinary Bladder Diseases', 'Urinary Bladder, Neurogenic', 'Urinary Incontinence']",34,106.06060606060606,OXYBUTYNIN TAB 5MG U/S 1000@,00832003810,2016-02-26,1000,1,1000,$0.25,$249.92,$249.92
863664,oxybutynin,5 MG (expressed as Oxybutynin chloride),"['Urinary Bladder Diseases', 'Urinary Bladder, Neurogenic', 'Urinary Incontinence']",34,43.75,OXYBUTYNIN TAB 5MG U/S 1000@,00832003810,2015-12-08,1000,1,1000,$0.247,$247.50,$247.50
198145,Prednisone,10 MG,"['Adrenal Insufficiency', 'Autoimmune Diseases', 'Collagen Diseases', 'Eye Diseases', 'Gastrointestinal Diseases', 'Graft vs Host Disease', 'Hematologic Diseases', 'Hypercalcemia', 'Hypersensitivity', 'Inflammation', 'Neoplasms', 'Respiratory Tract Diseases', 'Rheumatic Diseases', 'Skin Diseases']",5,-1,PREDNISON TAB 10MG ROX 500@,00054001729,2015-12-11,500,1,500,$0.128,$63.99,$63.99
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,-1,SM CLEARLAX PLY GLYC 17.9OZ,49348089392,2016-05-31,9,10,90,$1.043,$9.39,$93.90
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,8.75,SM CLEARLAX PLY GLYC 17.9OZ,49348089392,2016-05-13,9,5,45,$1.043,$9.39,$46.95
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,7.411764705882353,SM CLEARLAX PLY GLYC 17.9OZ,49348089392,2016-04-26,9,4,36,$1.043,$9.39,$37.56
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,2.5714285714285716,SM CLEARLAX PLY GLYC 17.9OZ,49348089392,2016-03-08,9,4,36,$1.043,$9.39,$37.56
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,1.0714285714285714,SM CLEARLAX PLY GLYC PWD 8.3OZ,49348089370,2016-03-08,3,5,15,$1.84,$5.52,$27.60
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,3.28125,SM CLEARLAX PLY GLYC PWD 8.3OZ,49348089370,2016-02-05,3,10,30,$1.84,$5.52,$55.20
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,4.271186440677966,SM CLEARLAX PLY GLYC 17.9OZ,49348089392,2015-12-08,9,8,72,$1.043,$9.39,$75.12
880407,POLYETHYLENE GLYCOL 3350,142 MG/ML,[],3,1.0677966101694916,SM CLEARLAX PLY GLYC PWD 8.3OZ,49348089370,2015-12-08,3,6,18,$1.84,$5.52,$33.12
309314,Citalopram,40 MG,"['Alcoholism', 'Dementia', 'Depressive Disorder', 'Diabetic Neuropathies', 'Obsessive-Compulsive Disorder', 'Tobacco Use Disorder']",17,-1,CITALOPRAM TAB 40MG CAMB  500@,31722020805,2016-01-12,500,2,1000,$0.031,$15.52,$31.04
309314,Citalopram,40 MG,"['Alcoholism', 'Dementia', 'Depressive Disorder', 'Diabetic Neuropathies', 'Obsessive-Compulsive Disorder', 'Tobacco Use Disorder']",17,50.0,CITALOPRAM TAB 40MG CAMB 500@,31722020805,2015-12-08,500,1,500,$0.031,$15.52,$15.52
199903,Hydrochlorothiazide,12.5 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",66,-1,HYDROCHL CAP 12.5MG CAD 100@,59746038206,2016-08-16,100,10,1000,$0.027,$2.71,$27.10
199903,Hydrochlorothiazide,12.5 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",66,89.74358974358975,HYDROCHL CAP 12.5MG CAD 100@,59746038206,2016-07-08,100,10,1000,$0.027,$2.71,$27.10
199903,Hydrochlorothiazide,12.5 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",66,70.0,HYDROCHL CAP 12.5MG CAD 100@,59746038206,2016-06-03,100,7,700,$0.027,$2.71,$18.97
199903,Hydrochlorothiazide,12.5 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",66,54.6875,HYDROCHL CAP 12.5MG CAD 100@,59746038206,2016-03-31,100,10,1000,$0.027,$2.72,$27.20
199903,Hydrochlorothiazide,12.5 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",66,79.54545454545455,HYDROCHL CAP 12.5MG CAD 100@,59746038206,2016-02-16,100,10,1000,$0.027,$2.73,$27.30
199903,Hydrochlorothiazide,12.5 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",66,54.6875,HYDROCHL CAP 12.5MG CAD 100@,59746038206,2015-12-14,100,10,1000,$0.025,$2.52,$25.20
979485,Losartan,25 MG (expressed as Losartan Potassium),"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",28,-1,LOSARTAN POT TAB 25MG PACK500@,16571050050,2016-04-19,500,3,1500,$0.044,$22.20,$66.60
979485,Losartan,25 MG (expressed as Losartan Potassium),"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",28,26.92307692307692,LOSARTAN POT TAB 25MG PACK500@,16571050050,2015-12-11,500,2,1000,$0.045,$22.46,$44.92
197806,Ibuprofen,600 MG,"['Arthritis, Juvenile', 'Arthritis, Rheumatoid', 'Bursitis', 'Dysmenorrhea', 'Fever', 'Gout', 'Inflammation', 'Menorrhagia', 'Osteoarthritis', 'Pain', 'Pain, Postoperative', 'Premenstrual Syndrome', 'Rheumatic Diseases', 'Spondylitis, Ankylosing']",63,-1,IBUPROFEN TAB 600MG ASCE500@,67877029505,2016-08-05,500,4,2000,$0.039,$19.64,$78.56
197806,Ibuprofen,600 MG,"['Arthritis, Juvenile', 'Arthritis, Rheumatoid', 'Bursitis', 'Dysmenorrhea', 'Fever', 'Gout', 'Inflammation', 'Menorrhagia', 'Osteoarthritis', 'Pain', 'Pain, Postoperative', 'Premenstrual Syndrome', 'Rheumatic Diseases', 'Spondylitis, Ankylosing']",63,55.118110236220474,IBUPROFEN TAB 600MG ASCE500@,67877029505,2016-03-31,500,4,2000,$0.039,$19.64,$78.56
197806,Ibuprofen,600 MG,"['Arthritis, Juvenile', 'Arthritis, Rheumatoid', 'Bursitis', 'Dysmenorrhea', 'Fever', 'Gout', 'Inflammation', 'Menorrhagia', 'Osteoarthritis', 'Pain', 'Pain, Postoperative', 'Premenstrual Syndrome', 'Rheumatic Diseases', 'Spondylitis, Ankylosing']",63,328.125,IBUPROF TAB 600MG UD SKY 750@,63739068401,2016-03-15,750,2,1500,$0.039,$29.45,$58.90
584414,Nystatin,100 UNT/MG,"['Candidiasis', 'Candidiasis, Chronic Mucocutaneous', 'Candidiasis, Cutaneous', 'Candidiasis, Oral', 'Candidiasis, Vulvovaginal']",0,-1,NYSTATIN TOP PWD U/S 15GM@,00832046515,2015-12-14,15,5,75,$0.581,$8.71,$43.55
198861,Sodium Bicarbonate,650 MG,"['Acid-Base Imbalance', 'Acidosis', 'Acidosis, Renal Tubular', 'Dyspepsia', 'Gastroesophageal Reflux', 'Heart Arrest', 'Heartburn', 'Hyperkalemia', 'Drug Overdose']",11,-1,SOD BICAR TB 10GR RIS 1000@,64980018210,2016-03-11,1000,1,1000,$0.008,$7.57,$7.57
308867,Calcitriol,0.00025 MG,"['Hyperparathyroidism', 'Hypocalcemia', 'Psoriasis', 'Rickets', 'Vitamin E Deficiency']",2,-1,CALCITR CAP 0.25MCG ROX 100@,00054000725,2015-12-11,100,2,200,$0.393,$39.28,$78.56
866514,Metoprolol,50 MG (expressed as Metoprolol Tartrate),"['Angina Pectoris', 'Atrial Fibrillation', 'Atrial Flutter', 'Heart Failure', 'Hypertension', 'Myocardial Infarction', 'Tachycardia, Supraventricular', 'Ventricular Fibrillation', 'Tachycardia, Ventricular']",46,-1,METOPROLOL TAB 50MG AURO1000@,65862006399,2016-05-17,1000,2,2000,$0.017,$16.76,$33.52
866514,Metoprolol,50 MG (expressed as Metoprolol Tartrate),"['Angina Pectoris', 'Atrial Fibrillation', 'Atrial Flutter', 'Heart Failure', 'Hypertension', 'Myocardial Infarction', 'Tachycardia, Supraventricular', 'Ventricular Fibrillation', 'Tachycardia, Ventricular']",46,44.303797468354425,METOPROLOL TAB 50MG AURO1000@,65862006399,2015-12-11,1000,2,2000,$0.017,$16.98,$33.96
313217,Terazosin,2 MG,"['Hypertension', 'Prostatic Hyperplasia', 'Urination Disorders', 'Urinary Retention']",28,-1,TERAZOSIN CAP 2MG CAD 1000,59746038410,2016-05-31,1000,1,1000,$0.103,$102.89,$102.89
313217,Terazosin,2 MG,"['Hypertension', 'Prostatic Hyperplasia', 'Urination Disorders', 'Urinary Retention']",28,17.857142857142858,TERAZOSIN CAP 2MG SAN 500@,00781205205,2016-02-23,500,1,500,$0.08,$40.00,$40.00
313217,Terazosin,2 MG,"['Hypertension', 'Prostatic Hyperplasia', 'Urination Disorders', 'Urinary Retention']",28,45.45454545454545,TERAZOSIN CAP 2MG CAD 1000,59746038410,2015-12-08,1000,1,1000,$0.048,$48.10,$48.10
966191,Thyroxine,0.125 MG,"['Goiter', 'Hypothyroidism', 'Myxedema', 'Thyroid Neoplasms', 'Thyroiditis, Autoimmune', 'Thyrotoxicosis']",14,-1,SYNTHROID TAB 0.125MG 1000,00074706819,2016-02-23,1000,1,1000,$0.171,$170.61,$170.61
966191,Thyroxine,0.125 MG,"['Goiter', 'Hypothyroidism', 'Myxedema', 'Thyroid Neoplasms', 'Thyroiditis, Autoimmune', 'Thyrotoxicosis']",14,12.77027027027027,SYNTHROID TAB 0.125MG 90,00074706890,2015-12-11,90,3,270,$0.171,$15.36,$46.08
314077,Lisinopril,20 MG,"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",127,-1,LISINOPR TAB 20MG SAN 1000@,00185062010,2016-08-26,1000,2,2000,$0.014,$14.32,$28.64
314077,Lisinopril,20 MG,"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",127,166.66666666666666,LISINOPR TAB 20MG SAN 1000@,00185062010,2016-07-15,1000,2,2000,$0.015,$14.55,$29.10
314077,Lisinopril,20 MG,"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",127,111.11111111111111,LISINOPR TAB 20MG SAN 1000@,00185062010,2016-05-13,1000,2,2000,$0.015,$14.74,$29.48
314077,Lisinopril,20 MG,"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",127,107.14285714285714,LISINOPR TAB 20MG SAN 1000@,00185062010,2016-02-05,1000,3,3000,$0.015,$14.74,$44.22
314077,Lisinopril,20 MG,"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",127,118.64406779661016,LISINOPR TAB 20MG MYLN 1000@,00378207510,2015-12-08,1000,2,2000,$0.016,$15.55,$31.10
197361,Amlodipine,5 MG,"['Angina Pectoris', 'Angina Pectoris, Variant', 'Hypertension']",57,-1,AMLODIPINE BES 5MG Q/P 1000@,00603210932,2016-09-09,1000,2,2000,$0.014,$14.25,$28.50
197361,Amlodipine,5 MG,"['Angina Pectoris', 'Angina Pectoris, Variant', 'Hypertension']",57,47.2972972972973,AMLODIPINE BES 5MG Q/P 1000@,00603210932,2016-04-14,1000,2,2000,$0.014,$14.25,$28.50
197361,Amlodipine,5 MG,"['Angina Pectoris', 'Angina Pectoris, Variant', 'Hypertension']",57,116.66666666666667,AMLODIPINE BES 5MG Q/P 1000@,00603210932,2016-03-15,1000,1,1000,$0.014,$14.25,$14.25
1049909,Diphenhydramine,25 MG (expressed as Diphenhydramine Hydrochloride),"['Anxiety Disorders', 'Sleep Initiation and Maintenance Disorders', 'Motion Sickness', 'Nausea', 'Rhinitis, Allergic, Perennial', 'Urticaria']",11,-1,DIPHENHYD CP 25MG MMP 1000@,00904530680,2016-03-11,1000,1,1000,$0.011,$11.01,$11.01
209375,Acetaminophen,325 MG,"['Fever', 'Pain']",11,-1,MAPAP TAB 325MG MMP 1000@,00904198280,2016-03-08,1000,1,1000,$0.004,$4.39,$4.39
198946,Vitamin B6,100 MG,[],4,-1,VIT B-6 TAB 100MG MMP 100@,00904051860,2016-03-11,100,4,400,$0.015,$1.54,$6.16
199245,glimepiride,1 MG,"['Diabetes Mellitus, Type 2']",11,-1,GLIMEPIR TAB 1MG TEV 100@,00093725401,2016-03-11,100,10,1000,$0.023,$2.33,$23.30
199246,glimepiride,2 MG,"['Diabetes Mellitus, Type 2']",17,-1,GLIMEPIR TAB 2MG TEV 100@,00093725501,2016-09-20,100,5,500,$0.041,$4.14,$20.70
199246,glimepiride,2 MG,"['Diabetes Mellitus, Type 2']",17,17.857142857142858,GLIMEPIR TAB 2MG TEV 100@,00093725501,2016-06-14,100,5,500,$0.035,$3.51,$17.55
199246,glimepiride,2 MG,"['Diabetes Mellitus, Type 2']",17,23.333333333333336,GLIMEPIR TAB 2MG TEV 100@,00093725501,2016-03-31,100,5,500,$0.03,$3.05,$15.25
310325,ferrous sulfate,325 MG,"['Anemia, Hypochromic', 'Pregnancy Complications, Hematologic', 'Anemia, Iron-Deficiency']",104,-1,FERR SO4 FC TB 325MG MMP 1000@,00904759080,2016-09-13,1000,3,3000,$0.005,$5.35,$16.05
310325,ferrous sulfate,325 MG,"['Anemia, Hypochromic', 'Pregnancy Complications, Hematologic', 'Anemia, Iron-Deficiency']",104,333.3333333333333,FERR SULF TAB 325MG PLUS1000,51645076010,2016-08-23,1000,2,2000,$0.005,$5.38,$10.76
310325,ferrous sulfate,325 MG,"['Anemia, Hypochromic', 'Pregnancy Complications, Hematologic', 'Anemia, Iron-Deficiency']",104,47.945205479452056,FERR SO4 FC TB 325MG MMP 1000@,00904759080,2016-03-30,1000,2,2000,$0.005,$5.35,$10.70
310325,ferrous sulfate,325 MG,"['Anemia, Hypochromic', 'Pregnancy Complications, Hematologic', 'Anemia, Iron-Deficiency']",104,61.94690265486726,FERR SO4 FC TB 325MG MMP 1000@,00904759080,2015-12-08,1000,2,2000,$0.005,$5.41,$10.82
311354,Lisinopril,5 MG,"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",23,-1,LISINOPR TAB 5MG SAN 1000@,00185540010,2016-08-23,1000,1,1000,$0.009,$9.48,$9.48
311354,Lisinopril,5 MG,"['Diabetic Nephropathies', 'Heart Failure', 'Hypertension', 'Ventricular Dysfunction, Left']",23,24.137931034482758,LISINOPR TAB 5MG Q/P 1000@,00603421032,2016-03-31,1000,1,1000,$0.01,$9.59,$9.59
904467,Pravastatin,20 MG (expressed as Pravastatin Sodium),"['Arteriosclerosis', 'Coronary Artery Disease', 'Hypercholesterolemia', 'Hyperlipidemias', 'Hyperlipoproteinemias', 'Hypertriglyceridemia']",11,-1,PRAVASTATIN TAB 20MG DR/R500@,55111023005,2016-08-26,500,1,500,$0.175,$87.50,$87.50
904467,Pravastatin,20 MG (expressed as Pravastatin Sodium),"['Arteriosclerosis', 'Coronary Artery Disease', 'Hypercholesterolemia', 'Hyperlipidemias', 'Hyperlipoproteinemias', 'Hypertriglyceridemia']",11,4.921875,PRAVAST NA TAB 20MG APX 90@,60505016909,2016-02-16,90,3,270,$0.339,$30.52,$91.56
904467,Pravastatin,20 MG (expressed as Pravastatin Sodium),"['Arteriosclerosis', 'Coronary Artery Disease', 'Hypercholesterolemia', 'Hyperlipidemias', 'Hyperlipoproteinemias', 'Hypertriglyceridemia']",11,9.0,PRAVAST NA TAB 20MG APX 90@,60505016909,2015-12-08,90,2,180,$0.339,$30.52,$61.04
866511,Metoprolol,100 MG (expressed as Metoprolol Tartrate),"['Angina Pectoris', 'Atrial Fibrillation', 'Atrial Flutter', 'Heart Failure', 'Hypertension', 'Myocardial Infarction', 'Tachycardia, Supraventricular', 'Ventricular Fibrillation', 'Tachycardia, Ventricular']",10,-1,METOPROL TAB 100MG AURO 100@,65862006401,2016-03-11,100,5,500,$0.03,$3.03,$15.15
866511,Metoprolol,100 MG (expressed as Metoprolol Tartrate),"['Angina Pectoris', 'Atrial Fibrillation', 'Atrial Flutter', 'Heart Failure', 'Hypertension', 'Myocardial Infarction', 'Tachycardia, Supraventricular', 'Ventricular Fibrillation', 'Tachycardia, Ventricular']",10,15.384615384615385,METOPROL TAB 100MG AURO 100@,65862006401,2015-12-11,100,4,400,$0.031,$3.07,$12.28
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,-1,SM LORATADINE TAB 10MG 90,49348081813,2016-08-16,90,20,1800,$0.071,$6.38,$127.60
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,100.0,SM LORATADINE TAB 10MG 90,49348081813,2016-06-14,90,20,1800,$0.071,$6.38,$127.60
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,180.0,SM LORATADINE TAB 10MG 90,49348081813,2016-05-10,90,20,1800,$0.071,$6.38,$127.60
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,175.0,SM LORATADINE TAB 10MG 90,49348081813,2016-04-22,90,10,900,$0.071,$6.38,$63.80
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,105.0,SM LORATADINE TAB 10MG 90,49348081813,2016-03-08,90,15,1350,$0.071,$6.38,$95.70
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,225.0,SM LORATADINE TAB 10MG 90,49348081813,2016-02-23,90,10,900,$0.071,$6.38,$63.80
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,112.5,SM LORATADINE TAB 10MG      90,,2016-01-12,90,15,1350,$0.071,$6.38,$95.70
311372,Loratadine,10 MG,"['Rhinitis, Allergic, Perennial', 'Urticaria']",130,135.0,SM LORATADINE TAB 10MG 90,49348081813,2015-12-08,90,15,1350,$0.071,$6.38,$95.70
313096,Spironolactone,25 MG,"['Ascites', 'Edema', 'Heart Failure', 'Hirsutism', 'Hyperaldosteronism', 'Hypertension', 'Hypokalemia']",46,-1,SPIRONOL TAB 25MG AMN 1000@,53746051110,2016-03-25,1000,2,2000,$0.044,$44.09,$88.18
313096,Spironolactone,25 MG,"['Ascites', 'Edema', 'Heart Failure', 'Hirsutism', 'Hyperaldosteronism', 'Hypertension', 'Hypokalemia']",46,68.62745098039215,SPIRONOL TAB 25MG AMN 1000@,53746051110,2015-12-14,1000,2,2000,$0.045,$44.61,$89.22
904481,Pravastatin,80 MG (expressed as Pravastatin Sodium),"['Arteriosclerosis', 'Coronary Artery Disease', 'Hypercholesterolemia', 'Hyperlipidemias', 'Hyperlipoproteinemias', 'Hypertriglyceridemia']",6,-1,PRAVAST SOD TAB 80MG ZYD   90@,68382007316,2016-01-19,90,4,360,$0.45,$40.52,$162.08
904481,Pravastatin,80 MG (expressed as Pravastatin Sodium),"['Arteriosclerosis', 'Coronary Artery Disease', 'Hypercholesterolemia', 'Hyperlipidemias', 'Hyperlipoproteinemias', 'Hypertriglyceridemia']",6,16.153846153846153,PRAVAST SOD TAB 80MG ZYD 90@,68382007316,2015-12-11,90,2,180,$0.45,$40.52,$81.04
197732,Furosemide,80 MG,"['Ascites', 'Edema', 'Heart Failure', 'Hypertension', 'Kidney Failure, Acute', 'Kidney Failure, Chronic', 'Liver Cirrhosis', 'Liver Diseases', 'Nephrotic Syndrome', 'Pulmonary Edema']",34,-1,FUROSEM TAB 80MG SAN 500@,00781144605,2016-08-09,500,3,1500,$0.02,$9.85,$29.55
197732,Furosemide,80 MG,"['Ascites', 'Edema', 'Heart Failure', 'Hypertension', 'Kidney Failure, Acute', 'Kidney Failure, Chronic', 'Liver Cirrhosis', 'Liver Diseases', 'Nephrotic Syndrome', 'Pulmonary Edema']",34,21.694214876033058,FUROSEM TAB 80MG SAN 500@,00781144605,2015-12-11,500,3,1500,$0.02,$9.95,$29.85
1293665,Aspirin,81 MG,"['Arthritis, Rheumatoid', 'Fever', 'Gout', 'Inflammation', 'Osteoarthritis', 'Pain', 'Rheumatic Fever']",92,-1,ASPIR-LOW EC TB 1.25G MMP1000@,00904770480,2016-05-20,1000,4,4000,$0.005,$4.80,$19.20
1293665,Aspirin,81 MG,"['Arthritis, Rheumatoid', 'Fever', 'Gout', 'Inflammation', 'Osteoarthritis', 'Pain', 'Rheumatic Fever']",92,86.95652173913044,ASPIR-LOW EC TB 1.25G MMP1000@,00904770480,2015-12-11,1000,4,4000,$0.005,$4.85,$19.40
884173,Clonidine,0.1 MG (expressed as Clonidine Hydrochloride),"['Glaucoma', 'Hypertension', 'Opioid-Related Disorders', 'Pain', 'Attention Deficit and Disruptive Behavior Disorders', 'Attention Deficit Disorder with Hyperactivity', 'Diarrhea', 'Dysmenorrhea', 'Tourette Syndrome', 'Glaucoma', 'Hypertension', 'Muscle Spasticity', 'Pain, Intractable', 'Sialorrhea', 'Substance Withdrawal Syndrome', 'Hot Flashes', 'Alcohol-Induced Disorders, Nervous System']",11,-1,CLONIDINE TAB 0.1MG ACTA 500@,00228212750,2016-03-30,500,1,500,$0.019,$9.46,$9.46
884173,Clonidine,0.1 MG (expressed as Clonidine Hydrochloride),"['Glaucoma', 'Hypertension', 'Opioid-Related Disorders', 'Pain', 'Attention Deficit and Disruptive Behavior Disorders', 'Attention Deficit Disorder with Hyperactivity', 'Diarrhea', 'Dysmenorrhea', 'Tourette Syndrome', 'Glaucoma', 'Hypertension', 'Muscle Spasticity', 'Pain, Intractable', 'Sialorrhea', 'Substance Withdrawal Syndrome', 'Hot Flashes', 'Alcohol-Induced Disorders, Nervous System']",11,16.355140186915886,CLONIDINE TAB 0.1MG ACTA 500@,00228212750,2015-12-14,500,1,500,$0.019,$9.33,$9.33
1483340,Potassium Chloride,20 MEQ,['Hypokalemia'],9,-1,K-TAB 20MEQ 1500MG 100,00074302313,2016-09-15,100,1,100,$0.215,$21.51,$21.51
1483340,Potassium Chloride,20 MEQ,['Hypokalemia'],9,4.069767441860465,K-TAB 20MEQ 1500MG 100,00074302313,2016-06-21,100,1,100,$0.215,$21.51,$21.51
1483340,Potassium Chloride,20 MEQ,['Hypokalemia'],9,11.931818181818182,K-TAB 20MEQ 1500MG 100,00074302313,2016-03-25,100,3,300,$0.215,$21.51,$64.53
1483340,Potassium Chloride,20 MEQ,['Hypokalemia'],9,10.294117647058824,K-TAB 20MEQ 1500MG 100,00074302313,2015-12-14,100,3,300,$0.218,$21.76,$65.28
242438,montelukast,5 MG,"['Asthma', 'Rhinitis, Allergic, Perennial']",2,-1,MONTELUKAST CHW TB 5MG SAN90@,00781555592,2015-12-11,90,2,180,$0.186,$16.73,$33.46
310798,Hydrochlorothiazide,25 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",115,-1,HYDROCHL TAB 25MG Q/P 1000@,00603385632,2016-08-05,1000,3,3000,$0.012,$11.87,$35.61
310798,Hydrochlorothiazide,25 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",115,125.0,HYDROCHL TAB 25MG Q/P 1000@,00603385632,2016-05-13,1000,3,3000,$0.011,$10.94,$32.82
310798,Hydrochlorothiazide,25 MG,"['Edema', 'Heart Failure', 'Hypertension', 'Nephrotic Syndrome']",115,92.71523178807946,HYDROCHL TAB 25MG Q/P 1000@,00603385632,2015-12-14,1000,4,4000,$0.011,$11.38,$45.52
979092,Hydroxychloroquine,200 MG (expressed as Hydroxychloroquine Sulfate),"['Arthritis, Rheumatoid', 'Lupus Erythematosus, Systemic', 'Malaria', 'Photosensitivity Disorders', 'Rheumatic Diseases', 'Porphyria Cutanea Tarda']",9,-1,HYDROXYCH TAB 200MG AVK 100,42291031801,2015-12-08,100,8,800,$1.584,$158.37,"$1,266.96"
